id,flag,gdr_cd,age,mrg_situ_cd,edu_deg_cd,acdm_deg_cd,deg_cd,job_year,ic_ind,fr_or_sh_ind,dnl_mbl_bnk_ind,dnl_bind_cmb_lif_ind,hav_car_grp_ind,hav_hou_grp_ind,l6mon_agn_ind,frs_agn_dt_cnt,vld_rsk_ases_ind,fin_rsk_ases_grd_cd,confirm_rsk_ases_lvl_typ_cd,cust_inv_rsk_endu_lvl_cd,l6mon_daim_aum_cd,tot_ast_lvl_cd,pot_ast_lvl_cd,bk1_cur_year_mon_avg_agn_amt_cd,l12mon_buy_fin_mng_whl_tms,l12_mon_fnd_buy_whl_tms,l12_mon_insu_buy_whl_tms,l12_mon_gld_buy_whl_tms,loan_act_ind,pl_crd_lmt_cd,ovd_30d_loan_tot_cnt,his_lng_ovd_day,hld_crd_card_grd_cd,crd_card_act_ind,l1y_crd_card_csm_amt_dlm_cd,atdd_type,perm_crd_lmt_cd,cur_debit_cnt,cur_credit_cnt,cur_debit_min_opn_dt_cnt,cur_credit_min_opn_dt_cnt,cur_debit_crd_lvl
U1100859,1,M,23,B,F,G,~,17,0,0,1,1,0,0,0,608,1,1,1,1,1,-1,6,0,0,0,0,0,0,0,0,0,10,1,1,0,1,1,1,608,108,10
U1099105,1,M,26,A,F,G,~,9,0,1,1,1,1,0,0,427,1,3,3,1,1,-1,4,0,0,0,0,0,0,0,0,0,20,1,4,0,1,1,1,593,380,10
U1081998,1,M,21,A,F,G,~,5,0,0,1,1,0,0,0,435,1,2,2,1,1,-1,4,0,0,0,0,0,0,0,0,0,10,0,2,,2,2,1,447,447,10
U1067553,1,M,39,A,Z,Z,~,0,0,1,1,1,1,0,0,363,1,1,2,1,1,-1,5,0,0,4,0,0,0,0,0,0,20,0,3,,5,1,2,384,1090,10
U1055621,1,F,46,B,Z,Z,~,8,0,0,1,1,0,0,0,-1,1,1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,10,1,3,,3,2,1,327,329,10
U1024586,1,M,21,A,G,F,~,0,0,0,1,1,0,0,0,-1,1,1,1,1,1,-1,5,0,0,1,0,0,0,0,0,0,20,1,1,0,1,1,1,161,161,10
U1024151,1,M,24,A,K,G,~,0,0,0,1,1,1,0,1,132,1,1,1,1,1,-1,6,3,0,1,0,0,0,0,0,0,20,1,2,,2,1,5,159,532,10
U992643,1,M,34,A,B,30,,0,0,1,1,1,1,0,1,38,0,-1,-1,1,1,3,3,1,0,0,0,0,0,0,0,0,20,1,5,0,7,1,1,2120,2694,10
U991096,1,M,31,A,F,G,~,0,0,0,1,1,1,0,0,-1,0,-1,-1,1,1,3,3,0,0,0,0,0,0,0,0,0,20,1,5,,7,1,7,2029,2028,10
U985087,1,F,32,B,B,30,,0,0,0,1,1,1,0,0,-1,0,-1,-1,1,1,-1,3,0,0,0,0,0,0,0,0,0,20,1,1,,5,1,2,1750,2197,10
U970862,1,M,24,A,C,31,~,16,0,0,1,1,0,0,1,1076,0,-1,-1,1,1,2,6,3,0,0,0,0,0,0,0,0,10,1,3,0,3,2,1,1098,697,10
U933609,1,M,22,A,K,31,~,4,0,0,1,1,1,0,0,-1,1,1,-1,1,1,-1,4,0,0,1,0,0,0,0,0,0,20,1,2,,1,1,1,312,554,10
U924666,1,F,30,A,K,31,~,3,0,0,1,1,0,0,1,161,1,1,-1,1,1,-1,5,4,0,1,0,0,0,0,0,0,10,0,3,,3,1,1,215,1139,10
U898705,1,M,34,B,C,31,~,17,0,1,1,1,1,0,0,-1,1,1,1,1,1,2,4,0,0,0,0,0,0,0,0,0,20,1,5,,3,1,1,558,363,10
U779742,1,M,32,A,C,31,,0,0,0,1,1,1,0,0,-1,0,-1,-1,1,2,5,3,0,0,0,0,0,1,4,0,22,20,1,5,,6,2,4,1450,1362,10
U753217,1,F,26,B,F,G,,3,1,1,1,1,1,0,0,-1,0,-1,-1,1,1,-1,4,0,0,0,0,0,1,3,1,32,10,1,4,,6,2,1,1102,1102,10
U751322,1,M,29,B,C,31,~,8,0,1,1,1,1,0,0,-1,0,-1,-1,1,1,-1,4,0,0,0,0,0,0,0,0,0,20,1,4,0,3,1,1,983,731,40
U748601,1,M,28,A,F,G,~,6,0,0,1,1,1,0,0,808,0,-1,1,1,1,-1,4,0,0,0,0,0,0,0,0,0,10,1,3,,1,1,2,820,602,10
U748473,1,F,38,B,Z,G,,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,1,-1,4,0,0,0,0,0,0,0,0,0,20,1,3,,3,1,2,811,980,10
U738966,1,M,30,A,K,G,~,4,0,0,1,1,0,0,0,-1,1,3,3,1,1,-1,3,0,0,0,0,0,0,0,0,0,20,1,5,0,5,1,1,405,2391,10
U737738,1,M,31,B,F,G,~,0,0,0,1,1,0,0,1,279,0,-1,-1,1,1,-1,4,3,0,0,0,0,0,0,0,0,20,1,4,,3,1,2,361,599,10
U716896,1,F,44,B,B,30,,0,0,1,1,1,0,0,0,1177,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,10,1,4,,7,2,1,1524,1410,20
U708151,1,F,31,B,F,G,~,0,0,0,1,1,0,0,0,-1,0,-1,-1,1,1,-1,5,0,0,0,0,0,0,0,0,0,10,1,2,0,1,1,1,1362,149,10
U694095,1,M,45,B,B,30,,0,0,1,1,1,1,0,0,-1,0,-1,4,1,1,-1,2,0,0,0,0,0,0,0,0,0,35,1,5,1,7,1,3,2071,1560,20
U677886,1,M,51,B,F,G,~,0,0,1,1,1,1,0,1,782,0,-1,1,1,2,-1,3,5,0,0,0,0,0,0,0,0,20,1,5,0,7,1,4,824,676,20
U673315,1,M,26,B,F,G,~,14,0,0,1,1,1,0,0,-1,1,1,1,1,1,-1,6,0,0,0,0,0,0,0,0,0,10,1,3,0,3,2,1,640,640,10
U669699,1,F,32,B,F,G,~,12,0,0,1,1,0,0,0,-1,1,1,1,1,1,-1,4,0,0,0,0,0,0,0,0,0,20,1,3,0,1,2,1,516,516,10
U662807,1,M,31,B,G,F,~,0,0,0,1,1,0,0,0,-1,1,2,2,1,1,-1,5,0,0,1,0,0,0,0,0,0,10,1,2,0,1,1,1,329,329,10
U659500,1,M,21,A,C,31,~,17,0,0,1,1,0,0,0,-1,1,1,1,1,1,-1,6,0,0,0,0,0,0,0,0,0,20,1,2,0,1,1,1,315,315,10
U625642,1,M,33,B,C,31,,0,0,1,1,1,1,0,0,1167,0,-1,-1,1,1,-1,6,0,0,0,0,0,0,0,0,0,10,1,5,0,7,3,1,2120,2119,10
U589062,1,M,32,B,F,G,,0,0,0,1,1,1,0,0,1203,0,-1,2,1,1,2,5,0,0,0,0,0,0,0,0,0,10,1,5,0,7,2,3,1390,1181,20
U586288,1,M,29,B,F,G,,0,0,0,1,1,1,0,0,1180,0,-1,-1,1,1,2,4,0,0,0,0,0,0,0,0,0,20,1,3,1,3,1,1,1338,1154,20
U44000,0,M,42,B,Z,Z,~,0,0,0,1,1,1,0,1,1028,0,-1,-1,1,2,-1,4,4,0,0,0,0,0,0,0,0,10,1,3,0,3,1,1,1800,731,10
U43841,0,M,36,A,C,31,~,7,0,0,1,1,1,0,0,1060,0,-1,-1,1,2,-1,3,0,0,0,0,0,0,0,0,0,10,1,4,,7,4,1,4576,2127,10
U43840,0,M,42,A,C,31,,6,0,0,1,0,1,0,1,1176,1,2,2,1,5,3,3,6,2,0,0,0,0,0,0,0,10,1,3,0,5,4,1,4758,4778,20
U43787,0,M,57,B,B,30,~,20,0,0,1,0,0,0,0,-1,1,3,4,2,5,2,3,0,2,0,0,0,0,0,0,0,20,0,0,0,7,3,1,4910,3560,40
U43696,0,F,40,B,B,30,,0,0,0,1,0,0,0,1,1182,0,-1,-1,1,3,-1,3,5,0,0,0,0,0,0,0,0,20,0,0,0,4,1,1,4232,2621,20
U43630,0,M,41,B,F,G,~,11,0,0,1,1,1,0,0,-1,0,-1,-1,6,4,-1,3,0,0,0,0,0,0,0,0,0,10,1,3,,4,1,1,4529,294,10
U43628,0,F,41,B,C,31,,4,0,0,1,1,1,0,1,1172,1,1,-1,1,2,-1,3,3,0,23,0,0,0,0,0,0,20,1,4,0,6,1,1,4686,4230,10
U43627,0,F,36,A,B,30,~,1,0,0,1,1,0,0,0,-1,0,-1,-1,1,3,-1,4,0,0,0,0,0,0,0,0,0,10,1,1,0,3,1,1,3161,3164,10
U43401,0,M,49,B,B,30,,5,0,0,1,1,1,0,0,1165,1,3,3,7,6,3,2,0,6,0,0,0,0,0,0,0,10,1,3,0,4,1,1,3514,4960,10
U43080,0,M,47,A,A,C,,14,0,0,1,1,0,0,0,839,1,3,3,1,5,-1,3,0,6,0,0,0,0,0,0,0,20,0,0,0,4,3,1,7841,4260,20
U42907,0,M,42,B,C,31,~,0,0,1,1,1,1,0,1,966,0,-1,-1,1,2,2,3,6,0,0,0,0,0,0,0,0,20,1,5,0,7,2,3,3553,3013,10
U42833,0,M,49,B,B,31,,19,0,0,1,1,1,0,1,1214,0,-1,-1,1,6,-1,2,6,0,0,0,0,0,0,0,0,10,0,0,0,8,3,3,6170,2983,20
U42653,0,F,38,A,B,Z,~,2,0,0,1,1,1,0,1,930,1,2,4,1,5,-1,2,6,5,0,0,0,0,0,0,0,20,1,5,0,5,2,1,3791,4321,10
U42611,0,M,43,B,B,30,A,0,0,1,1,1,0,1,0,-1,0,-1,-1,1,1,-1,5,0,0,0,0,0,1,5,0,0,20,0,3,,4,2,2,3741,300,10
U42520,0,F,38,A,D,Z,~,5,0,0,1,1,0,0,0,593,0,-1,-1,1,3,-1,2,0,0,0,0,0,0,0,0,0,10,1,4,0,4,1,1,3574,4686,10
U42459,0,M,43,B,F,G,,3,0,0,1,1,0,0,1,1204,0,-1,-1,1,2,-1,2,4,0,0,0,0,0,0,0,0,10,1,3,0,7,2,1,3458,4413,10
U42421,0,M,37,A,A,C,,2,0,0,1,1,1,0,0,1278,0,-1,-1,6,3,2,5,0,0,0,0,0,0,0,0,0,10,0,2,0,2,2,2,3389,3713,20
U42155,0,F,41,B,C,31,,0,0,1,1,1,0,0,1,1189,1,3,3,1,8,4,1,2,5,0,0,0,0,0,0,0,20,1,1,,7,2,1,2796,1572,40
U42049,0,F,46,B,B,Z,~,0,0,0,1,1,1,0,0,-1,1,2,3,1,5,-1,3,0,5,3,0,0,0,0,0,0,20,1,5,0,7,1,3,1359,4352,20
U41732,0,F,38,B,C,Z,A,2,0,0,1,1,1,0,0,-1,0,-1,2,1,4,10,6,0,0,0,0,0,0,0,0,0,10,1,5,0,7,8,1,6332,5478,20
U41644,0,F,38,B,K,Z,,4,0,0,1,1,1,0,1,1179,0,-1,-1,1,2,5,2,4,0,0,0,0,0,0,0,0,10,1,5,0,8,2,2,6037,5508,10
U41630,0,F,39,B,B,30,~,0,0,0,1,1,1,0,1,824,1,4,4,6,5,-1,2,7,2,0,0,0,0,0,0,0,10,1,5,0,8,3,2,5331,4778,20
U41579,0,M,46,B,B,30,,8,0,0,1,1,0,0,0,-1,0,-1,-1,5,5,5,3,0,0,0,0,0,0,0,0,0,10,1,0,0,2,3,1,6248,5447,20
U41509,0,M,52,B,C,31,A,20,1,1,1,1,0,0,0,-1,1,3,2,1,2,5,1,0,0,0,0,0,1,0,0,1,10,1,3,0,3,289,1,2538,708,20
U41505,0,M,42,B,B,30,B,0,0,0,1,1,1,0,0,1214,0,-1,4,7,2,-1,2,0,0,0,0,0,1,0,0,0,20,1,5,0,7,13,5,6281,4990,20
U41262,0,F,43,B,B,Z,,2,1,1,1,1,1,0,0,-1,0,-1,-1,1,4,3,2,0,0,0,0,0,0,0,0,0,20,1,5,0,7,2,1,6986,4291,20
U41260,0,M,41,A,C,31,,5,0,0,1,1,1,0,0,1207,0,-1,3,1,1,2,5,0,0,0,0,0,0,0,0,0,10,1,2,0,3,3,1,4850,4717,10
U41162,0,F,40,B,K,31,~,7,1,1,1,1,1,0,0,-1,1,1,1,1,5,-1,3,0,0,0,0,0,1,7,0,0,10,1,5,0,4,5,1,441,4533,10
U40973,0,F,57,B,B,30,~,3,0,1,1,1,0,0,0,-1,0,-1,-1,1,2,-1,2,0,0,0,0,0,0,0,0,0,10,1,3,0,8,1,2,1461,4564,10
U40925,0,F,36,B,A,C,C,0,0,0,1,1,0,0,0,-1,1,2,-1,1,2,2,6,0,0,0,0,0,0,0,0,0,20,1,3,0,5,3,3,6412,2922,20
U40870,0,M,41,A,A,Z,C,0,0,0,1,1,0,0,0,-1,1,3,4,1,2,-1,5,0,0,1,0,0,0,0,0,0,10,1,1,0,1,1,1,4660,5325,20
U40692,0,F,40,B,B,30,~,0,1,1,1,0,0,0,0,1146,0,-1,2,5,5,-1,2,0,0,0,0,0,1,5,0,0,40,1,5,1,8,5,3,4797,4809,40
U40614,0,M,44,B,B,30,B,15,0,0,1,1,1,1,0,-1,0,-1,3,1,1,5,2,0,0,0,0,0,1,0,0,1,20,1,4,,7,3,1,4326,2054,10
U40376,0,M,38,B,K,30,~,1,0,0,1,1,1,0,1,1218,1,3,2,1,5,-1,3,4,10,1,0,0,0,0,0,0,10,1,5,0,7,1,2,3268,2952,10
U40294,0,M,38,B,B,30,B,3,1,1,1,1,1,0,0,-1,0,-1,-1,1,4,-1,2,0,0,0,0,0,1,6,0,18,10,1,5,0,8,8,2,2657,4533,20
U40103,0,M,41,B,B,30,,3,0,0,1,1,1,1,0,-1,1,3,3,1,6,3,6,0,2,0,0,0,1,0,0,0,10,1,3,0,5,8,1,6370,5508,20
U40093,0,F,41,A,A,30,~,0,1,1,1,1,1,1,0,-1,0,-1,3,7,7,-1,3,0,0,0,0,0,1,0,1,35,20,1,5,0,7,6,2,5947,4505,40
U39926,0,F,58,B,B,Z,B,28,0,0,1,0,0,0,0,-1,1,3,-1,6,7,5,2,0,6,2,0,1,0,0,0,0,20,1,3,0,4,2,1,4611,4352,20
U39898,0,M,49,B,B,30,B,10,1,1,1,1,1,0,1,1278,1,4,4,1,7,-1,2,5,5,0,0,0,1,5,0,0,20,1,5,0,7,5,1,5375,3713,40
U39760,0,M,47,A,B,Z,A,16,1,1,1,1,1,0,0,1167,1,2,-1,1,3,-1,3,0,0,13,0,0,0,0,0,0,20,1,3,1,8,2,3,2383,3986,20
U39719,0,M,51,B,C,Z,A,0,0,1,1,0,0,0,0,1180,0,-1,3,7,7,3,2,0,0,0,0,0,0,0,0,0,20,1,4,0,7,3,3,6681,4809,40
U39338,0,F,45,B,B,30,B,0,1,1,1,1,1,0,1,305,0,-1,3,1,7,3,2,1,0,0,0,0,1,2,0,0,20,1,1,0,7,4,1,5900,2280,40
U39270,0,M,52,B,B,Z,~,0,0,0,1,1,1,0,0,-1,0,-1,-1,1,5,-1,3,0,0,0,0,0,0,0,0,0,20,1,5,0,5,3,2,6284,5600,20
U39237,0,M,63,B,C,31,A,0,0,0,1,0,1,0,0,-1,1,3,4,4,6,6,2,0,0,88,0,0,0,0,0,0,20,0,0,0,5,3,1,6745,2705,40
U39147,0,M,58,B,A,Z,C,15,1,1,1,1,1,0,0,-1,1,4,3,5,9,10,1,0,9,2,0,0,0,0,0,0,20,1,5,0,7,6,1,7488,5874,60
U39108,0,F,38,B,B,30,A,3,0,0,1,1,0,0,1,1193,0,-1,-1,3,5,-1,3,4,0,0,0,0,0,0,0,0,20,1,5,0,6,6,2,5185,4505,20
U38973,0,F,56,B,B,30,B,10,1,1,1,1,1,0,1,598,1,1,-1,1,3,3,2,4,0,0,0,0,1,2,0,0,20,1,5,0,7,8,2,6186,4139,20
U38952,0,M,53,B,Z,Z,B,0,0,1,1,0,1,0,0,846,0,-1,-1,6,5,1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,2,6,1,6865,1582,20
U38856,0,M,41,B,F,G,A,16,0,0,1,1,1,0,1,1207,0,-1,-1,1,2,2,3,2,0,0,0,0,0,0,0,0,10,0,1,0,7,3,1,6984,4321,20
U38744,0,M,45,B,A,Z,C,4,0,0,1,1,1,0,0,1103,1,3,5,2,5,6,2,0,1,2,0,0,0,0,0,0,20,1,4,0,7,3,2,5604,4413,20
U38675,0,M,45,B,C,31,,0,0,0,1,1,0,0,1,1278,0,-1,-1,1,2,5,3,3,0,0,0,0,0,0,0,0,20,1,3,0,5,1,1,2263,3317,20
U38616,0,M,44,A,C,31,,7,0,0,1,1,1,0,1,1050,0,-1,3,1,3,-1,3,5,0,0,0,0,0,0,0,0,20,1,3,,6,3,2,3365,1803,10
U38584,0,F,55,B,,Z,,22,0,0,1,0,0,0,0,1166,1,2,4,1,3,-1,4,0,2,4,0,0,0,0,0,0,20,1,2,0,4,1,1,1650,3529,10
U38540,0,F,60,B,B,30,,0,0,0,1,0,1,0,1,1134,1,3,1,1,7,7,2,7,5,2,1,0,0,0,0,0,20,1,3,0,6,4,2,5435,1707,40
U38518,0,M,57,B,B,31,,10,0,0,1,1,1,0,0,-1,0,-1,1,7,6,1,2,0,0,0,0,0,0,0,0,0,20,1,1,0,7,5,1,6119,4444,20
U38463,0,F,47,B,C,31,~,18,0,0,1,1,1,0,1,1166,1,3,2,1,4,-1,3,3,4,26,0,0,0,0,0,0,10,1,1,0,2,2,1,1650,4047,10
U38381,0,F,55,B,B,F,~,50,0,0,1,0,1,0,0,245,1,3,3,7,7,-1,2,0,43,0,0,0,0,0,0,0,20,1,4,0,7,3,1,4479,3833,40
U38344,0,M,41,A,B,30,,0,0,0,1,1,1,0,1,1218,1,2,2,1,3,3,2,5,0,34,0,0,1,5,0,0,30,1,5,0,7,7,4,5590,3195,20
U38211,0,F,57,B,F,G,,0,0,0,1,0,0,0,0,-1,0,-1,2,1,5,5,3,0,0,0,0,0,0,0,0,0,20,0,1,0,3,2,1,5935,3986,20
U38149,0,M,45,B,C,G,,10,0,0,1,1,1,0,0,-1,0,-1,-1,1,3,-1,2,0,0,0,0,0,0,0,0,0,10,1,3,0,7,3,1,2114,2113,10
U37498,0,M,40,B,B,30,,9,0,0,1,1,1,0,1,1188,1,2,4,1,4,3,4,5,0,4,0,0,0,0,0,0,20,1,4,0,4,3,1,5334,3044,20
U37474,0,F,34,A,B,Z,~,2,0,0,1,1,1,0,1,690,1,3,1,1,5,-1,2,4,22,0,0,0,1,3,0,0,20,1,5,0,7,1,1,739,4352,10
U37375,0,M,47,B,C,31,,0,0,0,1,1,1,0,1,1179,0,-1,-1,1,2,-1,2,4,0,0,0,0,0,0,0,0,35,1,3,0,7,1,3,2220,2817,20
U37258,0,M,44,B,C,31,,18,0,0,1,1,1,0,1,1278,0,-1,-1,1,2,2,4,4,0,0,0,0,0,0,0,0,10,1,3,0,8,2,2,6622,2443,20
U37236,0,F,56,B,B,30,,27,0,0,1,1,1,0,1,1278,1,2,2,1,3,5,3,4,2,1,0,0,0,0,0,0,20,0,0,0,6,3,1,5436,3774,40
U37207,0,M,52,B,C,31,,20,0,0,1,1,0,0,0,-1,0,-1,5,6,4,-1,3,0,0,0,0,0,0,0,0,0,10,0,0,0,7,2,1,5402,3529,20
U37020,0,F,45,B,C,31,,0,0,0,1,1,0,0,1,1202,0,-1,-1,1,3,2,4,3,0,0,0,0,0,0,0,0,20,1,3,0,2,5,2,4963,4291,10
U36995,0,M,48,B,B,30,B,4,1,1,1,0,0,1,1,167,1,3,3,1,7,9,2,3,2,0,0,1,1,0,0,0,20,1,0,0,5,2,1,4499,2687,40
U36757,0,M,56,B,C,31,,28,0,0,1,0,1,0,1,1208,0,-1,-1,1,4,-1,3,4,0,0,0,0,0,0,0,0,10,1,2,0,3,2,1,4821,1678,20
U36672,0,F,57,B,B,Z,~,20,0,0,1,0,1,0,0,-1,1,2,3,3,5,-1,3,0,0,0,0,0,0,0,0,0,20,1,1,0,5,4,1,4919,4809,20
U36613,0,F,42,B,C,31,,0,0,1,1,1,0,0,0,-1,0,-1,3,1,2,-1,4,0,0,0,0,0,0,0,0,0,-1,0,0,,2,3,1,4634,924,20
U36313,0,F,52,B,K,G,~,13,0,1,1,0,0,0,0,-1,0,-1,-1,1,2,-1,4,0,0,0,0,0,0,0,0,0,10,0,1,,2,1,1,57,1802,10
U36300,0,M,39,A,A,Z,~,0,0,0,1,1,0,0,1,1210,0,-1,2,1,1,3,2,4,0,0,0,0,0,0,0,0,20,1,3,0,8,4,2,4714,5294,20
U36154,0,M,44,B,B,Z,A,0,0,1,1,1,1,0,1,1119,1,5,5,1,3,-1,2,6,0,0,0,0,1,6,0,1,20,1,5,0,7,8,1,6492,5051,20
U36148,0,F,44,B,B,Z,~,7,0,0,1,1,0,0,0,-1,1,3,3,1,2,-1,4,0,0,0,0,0,0,0,0,0,20,1,3,1,4,2,1,6486,4291,20
U36132,0,F,39,B,A,C,,6,0,0,1,1,1,0,1,1195,0,-1,3,1,2,2,3,3,0,0,0,0,0,0,0,0,10,1,4,0,8,2,2,2914,1804,20
U36102,0,M,57,B,B,30,,8,0,0,1,1,1,0,0,1200,1,2,4,7,6,-1,2,0,0,16,0,0,0,0,0,0,20,1,3,0,5,3,1,6461,2176,40
U35979,0,M,57,B,F,G,,5,0,0,1,1,0,0,0,-1,0,-1,-1,1,3,-1,4,0,0,0,0,0,0,0,0,0,10,1,1,0,3,3,1,6393,2568,10
U35826,0,F,39,B,C,31,~,3,1,1,1,1,1,0,0,-1,1,2,-1,1,1,-1,3,0,0,2,0,0,0,0,0,0,10,1,3,0,5,4,1,6199,4168,10
U35662,0,M,55,B,K,Z,,18,0,1,1,1,1,0,1,1175,1,5,-1,1,7,11,2,6,13,1,0,0,0,0,0,0,10,1,1,0,4,5,1,7483,5874,40
U35534,0,M,58,B,B,30,,8,1,1,1,1,1,0,0,1218,0,-1,-1,1,1,-1,3,0,0,0,0,0,1,4,0,0,20,1,5,0,6,8,1,6002,3560,40
U35369,0,M,41,B,B,30,,6,0,0,1,1,1,0,1,1180,0,-1,-1,1,2,2,3,4,0,0,0,0,0,0,0,0,20,1,5,0,7,1,2,1673,2551,20
U35179,0,M,46,B,B,30,~,11,1,1,1,1,1,0,0,-1,0,-1,-1,7,6,11,2,0,0,0,0,0,0,0,0,0,40,1,5,0,8,4,2,7101,5051,40
U35101,0,M,55,B,Z,Z,~,0,0,0,1,1,1,0,1,1172,1,5,3,3,5,2,3,3,9,92,0,0,0,0,0,0,20,0,0,0,4,2,2,3499,187,20
U34984,0,M,39,B,B,30,,0,0,0,1,1,1,0,1,1207,1,2,3,3,5,5,2,4,0,18,0,0,0,0,0,0,20,1,4,0,7,2,3,3654,3560,20
U34905,0,M,41,B,B,G,,6,0,0,1,1,1,0,1,772,0,-1,-1,7,3,3,3,3,0,0,0,0,0,0,0,0,20,1,2,0,7,1,1,1636,4291,20
U34830,0,F,47,B,B,30,~,0,0,0,1,1,1,0,1,21,1,3,-1,7,4,-1,2,4,0,21,0,0,0,0,0,0,20,1,5,0,7,2,1,4396,3103,10
U34731,0,M,57,B,B,30,C,25,0,1,0,1,0,1,1,353,0,-1,2,7,7,-1,2,6,0,0,0,0,1,0,0,0,20,0,0,0,5,3,1,4312,3802,40
U34683,0,M,47,B,C,31,,15,0,0,1,1,0,0,0,-1,0,-1,-1,5,3,-1,4,0,0,0,0,0,0,0,0,0,20,1,3,0,4,1,1,4266,3378,10
